,id,symbol,type,opened,closed,avgCost,avgClosePrice,closingPnl,maxOpenInterest,closedVolume,isolated,side,status,updateTime
1537,16168361,DOGEUSDT,UM,1709632819432,1709632980128,0.17932,0.18013,0.1377,170.0,170.0,Cross,Long,All Closed,1709672742275
1538,16162307,DOGEUSDT,UM,1709631275179,1709632811691,0.17857953,0.17938,0.48188,602.0,602.0,Cross,Long,All Closed,1709672708765
1539,16157449,THETAUSDT,UM,1709630176989,1709631712076,3.0787,3.1135,0.11832,3.4,3.4,Cross,Long,All Closed,1709671749110
1540,16150913,DOGEUSDT,UM,1709628636457,1709629961482,0.18141,0.18222,0.13608,168.0,168.0,Cross,Long,All Closed,1709672572157
1541,16143109,DOGEUSDT,UM,1709626995338,1709628598081,0.1814,0.18221,0.13608,168.0,168.0,Cross,Long,All Closed,1709672447599
1542,16142399,DOGEUSDT,UM,1709626858522,1709626984437,0.18061,0.18142,0.13689,169.0,169.0,Cross,Long,All Closed,1709672374488
1543,16140522,DOGEUSDT,UM,1709626515857,1709626853570,0.17982,0.18063,0.1377,170.0,170.0,Cross,Long,All Closed,1709672367677
1544,16139561,DOGEUSDT,UM,1709626405666,1709626511583,0.17896,0.17976,0.136,170.0,170.0,Cross,Long,All Closed,1709672340907
1545,16138507,DOGEUSDT,UM,1709626297390,1709626388429,0.17793,0.17873,0.1368,171.0,171.0,Cross,Long,All Closed,1709672341039
1546,16120433,DOGEUSDT,UM,1709623511235,1709626293014,0.17707751,0.17783524,1.61547999,2132.0,2132.0,Cross,Long,All Closed,1709672314230
1547,16120287,DOGEUSDT,UM,1709623466507,1709623505734,0.18211,0.18293,0.13694,167.0,167.0,Cross,Long,All Closed,1709672089053
1548,16119185,DOGEUSDT,UM,1709623194729,1709623456015,0.18130675,0.18212,0.48063,591.0,591.0,Cross,Long,All Closed,1709672085823
1549,16117819,DOGEUSDT,UM,1709622749638,1709623078863,0.18422,0.18505,0.13695,165.0,165.0,Cross,Long,All Closed,1709672129752
1550,16115671,DOGEUSDT,UM,1709622211707,1709622643559,0.18434,0.18517,0.13695,165.0,165.0,Cross,Long,All Closed,1709672044995
1551,16113515,DOGEUSDT,UM,1709621728417,1709622064996,0.18435,0.18518,0.13695,165.0,165.0,Cross,Long,All Closed,1709672017543
1552,16106409,DOGEUSDT,UM,1709620210679,1709620232096,0.18394,0.18477,0.13695,165.0,165.0,Cross,Long,All Closed,1709671887462
1553,16105483,DOGEUSDT,UM,1709620004127,1709620040938,0.18392,0.18475,0.13695,165.0,165.0,Cross,Long,All Closed,1709671894106
1554,16105263,DOGEUSDT,UM,1709619968727,1709619988288,0.18392,0.18475,0.13695,165.0,165.0,Cross,Long,All Closed,1709671913141
1555,16103655,DOGEUSDT,UM,1709619666001,1709619697331,0.1839,0.18473,0.13695,165.0,165.0,Cross,Long,All Closed,1709671921890
1556,16103383,DOGEUSDT,UM,1709619615420,1709619656107,0.18337,0.18419,0.13612,166.0,166.0,Cross,Long,All Closed,1709671918633
1557,16103213,DOGEUSDT,UM,1709619597722,1709619610333,0.18306,0.18388,0.13612,166.0,166.0,Cross,Long,All Closed,1709671921512
1558,16103111,DOGEUSDT,UM,1709619576146,1709619582043,0.18201,0.18283,0.13694,167.0,167.0,Cross,Long,All Closed,1709671917847
1559,16102855,DOGEUSDT,UM,1709619547427,1709619567926,0.18246,0.18328,0.13694,167.0,167.0,Cross,Long,All Closed,1709671909073
1560,16102053,DOGEUSDT,UM,1709619418861,1709619530786,0.18173,0.18255,0.13694,167.0,167.0,Cross,Long,All Closed,1709671894336
1561,16101819,DOGEUSDT,UM,1709619380845,1709619395518,0.18094,0.18175,0.13608,168.0,168.0,Cross,Long,All Closed,1709671892863
